Datum;Kurs
2017-07-26;46,82
2017-07-27;46,79
2017-07-28;46,26
2017-07-31;46,18
2017-08-01;46,295
2017-08-02;46,03
2017-08-03;46,035
2017-08-04;46,55
2017-08-07;46,40
2017-08-08;46,675
2017-08-09;46,325
2017-08-10;46,015
2017-08-11;45,585
2017-08-14;46,09
2017-08-15;46,16
2017-08-16;46,465
2017-08-17;46,10
2017-08-18;45,74
2017-08-21;45,39
2017-08-22;45,90
2017-08-23;45,75
2017-08-24;45,65
2017-08-25;45,56
2017-08-28;45,175
2017-08-29;44,855
2017-08-30;45,38
2017-08-31;45,79
2017-09-01;46,025
2017-09-04;45,71
2017-09-05;45,65
2017-09-06;45,60
2017-09-07;45,43
2017-09-08;45,46
2017-09-11;46,045
2017-09-12;46,22
2017-09-13;46,45
2017-09-14;46,48
2017-09-15;46,25
2017-09-18;46,445
2017-09-19;46,40
2017-09-20;46,375
2017-09-21;46,505
2017-09-22;46,385
2017-09-25;46,685
2017-09-26;46,92
2017-09-27;47,07
2017-09-28;47,07
2017-09-29;47,12
2017-10-02;47,54
2017-10-03;47,54
2017-10-04;47,63
2017-10-05;47,89
2017-10-06;47,785
2017-10-09;47,81
2017-10-10;47,635
2017-10-11;47,60
2017-10-12;47,66
2017-10-13;47,73
2017-10-16;47,88
2017-10-17;48,015
2017-10-18;48,055
2017-10-19;47,715
2017-10-20;48,10
2017-10-23;48,29
2017-10-24;48,14
2017-10-25;47,715
2017-10-26;48,325
2017-10-27;48,96
2017-10-30;48,705
2017-10-31;48,705
2017-11-02;48,99
2017-11-03;49,11
2017-11-06;49,205
2017-11-07;49,295
2017-11-08;49,255
2017-11-09;48,85
2017-11-10;48,71
2017-11-13;48,605
2017-11-14;48,08
2017-11-15;47,815
2017-11-16;48,23
2017-11-17;48,08
2017-11-20;48,39
2017-11-21;48,71
2017-11-22;48,53
2017-11-23;48,34
2017-11-24;48,17
2017-11-27;48,14
2017-11-28;48,455
2017-11-29;48,665
2017-11-30;48,66
2017-12-01;48,205
2017-12-04;48,93
2017-12-05;48,92
2017-12-06;48,765
2017-12-07;48,86
2017-12-08;49,18
2017-12-11;49,175
2017-12-12;49,685
2017-12-13;49,568
2017-12-14;49,34
2017-12-15;49,47
2017-12-18;49,765
2017-12-19;49,565
2017-12-20;49,27
2017-12-21;49,46
2017-12-22;49,45
2017-12-27;49,415
2017-12-28;49,20
2017-12-29;49,26
2018-01-02;48,99
2018-01-03;49,398
2018-01-04;49,657
2018-01-05;49,994
2018-01-08;50,356
2018-01-09;50,738
2018-01-10;50,46
2018-01-11;50,282
2018-01-12;50,31
2018-01-15;50,06
2018-01-16;50,21
2018-01-17;50,198
2018-01-18;50,206
2018-01-19;50,336
2018-01-22;50,486
2018-01-23;50,762
2018-01-24;50,34
2018-01-25;49,997
2018-01-26;50,406
2018-01-29;50,628
2018-01-30;49,978
2018-01-31;49,789
2018-02-01;49,601
2018-02-02;49,13
2018-02-05;48,408
2018-02-06;46,803
2018-02-07;48,318
2018-02-08;47,359
2018-02-09;46,458
2018-02-12;47,15
2018-02-13;46,836
2018-02-14;47,181
2018-02-15;47,444
2018-02-16;48,269
2018-02-19;48,132
2018-02-20;48,426
2018-02-21;48,608
2018-02-22;48,393
2018-02-23;48,505
2018-02-26;48,981
2018-02-27;49,233
2018-02-28;48,925
2018-03-01;48,366
2018-03-02;47,162
2018-03-05;47,702
2018-03-06;47,684
2018-03-07;47,811
2018-03-08;48,293
2018-03-09;48,75
2018-03-12;49,017
2018-03-13;48,619
2018-03-14;48,414
2018-03-15;48,639
2018-03-16;48,764
2018-03-19;47,886
2018-03-20;48,287
2018-03-21;48,458
2018-03-22;47,58
2018-03-23;46,668
2018-03-26;46,113
2018-03-27;47,04
2018-03-28;46,598
2018-03-29;47,082
2018-04-03;46,649
2018-04-04;46,604
2018-04-05;47,994
2018-04-09;47,377
2018-04-10;47,60
2018-04-11;47,343
2018-04-12;47,698
2018-04-13;47,644
2018-04-16;47,613
2018-04-17;48,211
2018-04-18;48,261
2018-04-19;48,118
2018-04-20;48,095
2018-04-23;48,392
2018-04-24;48,26
2018-04-25;47,859
2018-04-26;48,521
2018-04-27;48,707
2018-04-30;48,957
2018-05-02;48,995
2018-05-03;48,365
2018-05-04;49,267
2018-05-07;49,651
2018-05-08;49,702
2018-05-09;49,911
2018-05-10;50,292
2018-05-11;50,336
2018-05-14;50,326
2018-05-15;50,33
2018-05-16;50,736
2018-05-17;50,928
2018-05-18;50,83
2018-05-21;50,83
2018-05-22;51,154
2018-05-23;50,932
2018-05-24;50,788
2018-05-25;51,118
2018-05-28;51,158
2018-05-29;50,926
2018-05-30;50,918
2018-06-01;51,054
2018-06-04;51,236
2018-06-05;51,22
2018-06-06;51,184
2018-06-07;51,13
2018-06-08;51,18
2018-06-11;51,416
2018-06-12;51,404
2018-06-13;51,58
2018-06-14;52,036
2018-06-15;51,716
2018-06-18;51,668
2018-06-19;51,453
2018-06-20;51,67
2018-06-21;51,294
2018-06-22;51,514
2018-06-25;50,26
2018-06-26;50,557
2018-06-27;51,027
2018-06-28;50,672
2018-06-29;50,90
2018-07-02;50,511
2018-07-03;50,76
2018-07-04;50,706
2018-07-05;50,61
2018-07-06;50,892
2018-07-09;51,296
2018-07-10;51,476
2018-07-11;51,174
2018-07-12;51,507
2018-07-13;51,81
2018-07-16;51,552
2018-07-17;51,698
2018-07-18;52,054
2018-07-19;52,09
2018-07-20;51,796
2018-07-23;51,716
2018-07-24;52,072
2018-07-25;52,144
2018-07-26;52,53
2018-07-27;52,506
2018-07-30;52,00
2018-07-31;52,132
2018-08-01;52,17
2018-08-02;52,248
2018-08-03;52,552
2018-08-06;52,786
2018-08-07;52,95
2018-08-08;52,868
2018-08-09;53,06
2018-08-10;53,164
2018-08-13;53,024
2018-08-14;53,27
2018-08-15;52,846
2018-08-16;53,112
2018-08-17;52,994
2018-08-20;53,154
2018-08-22;51,832
2018-08-23;51,668
2018-08-24;51,788
2018-08-27;52,028
2018-08-28;51,898
2018-08-29;52,182
2018-08-30;52,198
2018-08-31;52,134
2018-09-03;52,194
2018-09-04;52,078
2018-09-05;51,472
2018-09-06;51,324
2018-09-07;51,538
2018-09-10;51,53
2018-09-11;51,564
2018-09-12;51,626
2018-09-13;51,598
2018-09-24;51,904
2018-09-25;52,092
2018-09-26;52,186
2018-09-27;52,46
2018-09-28;52,51
2018-10-01;52,938
2018-10-02;52,752
2018-10-04;52,456
2018-10-05;52,138
2018-10-08;51,964
2018-10-09;52,108
2018-10-10;51,086
2018-10-11;49,546
2018-10-12;49,652
2018-10-15;49,741
2018-10-16;50,196
2018-10-17;50,374
2018-10-18;50,106
2018-10-19;50,262
2018-10-22;50,046
2018-10-23;49,053
2018-10-24;49,191
2018-10-25;49,284
2018-10-26;48,619
2018-10-29;48,91
2018-10-30;48,778
2018-10-31;49,886
2018-11-01;49,886
2018-11-02;49,806
2018-11-05;49,867
2018-11-06;50,026
2018-11-07;50,592
2018-11-08;50,988
2018-11-09;50,804
2018-11-12;50,452
2018-11-14;49,901
2018-11-15;49,686
2018-11-16;49,704
2018-11-19;49,165
2018-11-20;48,527
2018-11-21;48,926
2018-11-22;48,323
2018-11-23;48,801
2018-11-26;49,123
2018-11-27;49,434
2018-11-28;49,706
2018-11-29;49,961
2018-11-30;50,196
2018-12-04;50,49
2018-12-05;49,628
2018-12-06;48,205
2018-12-07;48,505
2018-12-10;47,588
2018-12-11;48,509
2018-12-12;48,929
2018-12-13;48,665
2018-12-14;48,39
2018-12-17;47,736
2018-12-18;47,176
2018-12-19;47,086
2018-12-20;45,817
2018-12-21;45,682
2018-12-27;45,009
2018-12-28;45,979
2019-01-02;46,323
2019-01-03;45,685
2019-01-04;46,641
2019-01-07;46,971
2019-01-08;47,153
2020-01-23;61,03
2020-01-24;61,272
